SEQ,SCCNT_YM,ORIGIN_SN_ID,KWRD_NM,SRCHWRD_NM,SCCNT,ORIGIN_TY
304581,Feb-22,KC495PP19N026003,롯데월드,롯데월드,568800,관광명소
300462,Feb-22,CULTURE_001471,강릉,강릉,515300,관광명소
310363,Feb-22,KC495PP19N026010,에버랜드,에버랜드,426400,관광명소
304584,Feb-22,KC495PP19N020015,루지,루지,315900,관광명소
300509,Feb-22,KC495PP19N026012,강원랜드,강원랜드,261500,관광명소
315735,Feb-22,SAN_0734,한라산,한라산,177800,관광명소
308020,Feb-22,KC495PP19N026005,서울랜드,서울랜드,166000,관광명소
300791,Feb-22,CULTURE_001254,경복궁,경복궁,143000,관광명소
314973,Feb-22,SAN_0708,태백산,태백산,129180,관광명소
309910,Feb-22,SAN_0480,안산,안산,102800,관광명소
313797,Feb-22,SAN_0649,지리산,지리산,101100,관광명소
303756,Feb-22,SAN_0179,덕유산,덕유산,87260,관광명소
309315,Feb-22,KC495PP19N019991,스포츠몬스터,스포츠몬스터,75360,관광명소
312481,Feb-22,KC495PP19N026020,이월드,이월드,71350,관광명소
315738,Feb-22,KC498PP19N007861,한라산국립공원,한라산국립공원,70870,관광명소
310272,Feb-22,KC495PP19N026002,어린이대공원,어린이대공원,66260,관광명소
302661,Feb-22,CULTURE_001509,남한산성,남한산성,66170,관광명소
312015,Feb-22,KC495PP19N033737,월미도,월미도,62770,관광명소
308032,Feb-22,KC498PP19N008095,서울숲,서울숲,59070,관광명소
308352,Feb-22,SAN_0433,설악산,설악산,56810,관광명소
308017,Feb-22,KC495PP19N025985,서울대공원,서울대공원,55280,관광명소
306807,Feb-22,SAN_0361,북한산,북한산,54210,관광명소
306039,Feb-22,SAN_0284,백두산,백두산,53840,관광명소
303587,Feb-22,KC495PP19N026068,대천해수욕장,대천해수욕장,47830,관광명소
307968,Feb-22,SAN_0416,서산,서산,46440,관광명소
307041,Feb-22,KC495PP19N023376,뽀로로테마파크,뽀로로테마파크,46300,관광명소
307044,Feb-22,KC495PP19N022710,뽀로로테마파크(2020년5월예정),뽀로로테마파크,46300,관광명소
316530,Feb-22,SAN_0755,황병산,황병산,46200,관광명소
303399,Feb-22,SAN_0158,대둔산,대둔산,43890,관광명소
316177,Feb-22,KC495PP19N026067,협재해수욕장,협재해수욕장,43760,관광명소
315884,Feb-22,KC495PP19N026114,함덕해수욕장,함덕해수욕장,42880,관광명소
314384,Feb-22,SAN_0684,청계산,청계산,42660,관광명소
312343,Feb-22,KC495PP19N026062,을왕리해수욕장,을왕리해수욕장,42320,관광명소
303735,Feb-22,CULTURE_001248,덕수궁,덕수궁,42170,관광명소
305847,Feb-22,SAN_0277,발왕산,발왕산,41750,관광명소
302442,Feb-22,KC498PP19N007232,낙산공원,낙산공원,41580,관광명소
315355,Feb-22,KC498PP19N000298,포천아트밸리,포천아트밸리,40280,관광명소
311328,Feb-22,SAN_0540,용각산,용각산,39090,관광명소
308673,Feb-22,SAN_0445,소백산,소백산,38700,관광명소
304667,Feb-22,KC495PP19N022603,마산로봇랜드,마산로봇랜드,38270,관광명소
314068,Feb-22,CULTURE_001249,창덕궁,창덕궁,36670,관광명소
311444,Feb-22,SAN_0546,용산,용산,35750,관광명소
306662,Feb-22,KC495PP19N001193,부곡하와이,부곡하와이,35720,관광명소
311450,Feb-22,KC498PP19N005320,용산공원,용산공원,35610,관광명소
307982,Feb-22,KC498PP19N000304,서서울호수공원,서서울호수공원,33660,관광명소
314271,Feb-22,KC495PP19N032678,천지연폭포,천지연폭포,33340,관광명소
301295,Feb-22,SAN_0065,관악산,관악산,33290,관광명소
306341,Feb-22,SAN_0318,변산,변산,32960,관광명소
309819,Feb-22,SAN_0477,아차산,아차산,31590,관광명소
305292,Feb-22,SAN_0249,무등산,무등산,30910,관광명소
301419,Feb-22,KC495PP19N026008,광주패밀리랜드,광주패밀리랜드,30500,관광명소
311175,Feb-22,KC498PP19N003230,올림픽공원,올림픽공원,30400,관광명소
314056,Feb-22,CULTURE_001251,창경궁,창경궁,29670,관광명소
301340,Feb-22,KC498PP19N001608,광교호수공원,광교호수공원,29200,관광명소
301218,Feb-22,KC498PP19N000024,공원,공원,27240,관광명소
307239,Feb-22,SAN_0388,산방산,산방산,27010,관광명소
304659,Feb-22,SAN_0211,마산,마산,25760,관광명소
315210,Feb-22,SAN_0722,팔공산,팔공산,25480,관광명소
308736,Feb-22,SAN_0448,속리산,속리산,24960,관광명소
309248,Feb-22,KC495PP19N014706,순천만국가정원,순천만국가정원,24720,관광명소
302074,Feb-22,SAN_0110,금오산,금오산,24620,관광명소
311002,Feb-22,CULTURE_001188,오죽헌,오죽헌,23730,관광명소
300887,Feb-22,SAN_0044,계룡산,계룡산,23540,관광명소
314361,Feb-22,CULTURE_001236,첨성대,첨성대,23480,관광명소
301801,Feb-22,KC495PP19N022610,군위삼국유사테마파크,군위삼국유사테마파크,23100,관광명소
303932,Feb-22,SAN_0188,도봉산,도봉산,23030,관광명소
309907,Feb-22,KC495PP19N026214,안목해변,안목해변,22410,관광명소
308201,Feb-22,KC498PP19N000632,석촌호수,석촌호수,21760,관광명소
300905,Feb-22,SAN_0049,계방산,계방산,21730,관광명소
312581,Feb-22,KC498PP19N008158,인천대공원,인천대공원,21700,관광명소
302540,Feb-22,SAN_0128,남산,남산,21680,관광명소
315020,Feb-22,KC498PP19N008160,태종대,태종대,21320,관광명소
304242,Feb-22,KC498PP19N004250,동탄호수공원,동탄호수공원,21220,관광명소
309018,Feb-22,SAN_0453,수락산,수락산,21090,관광명소
314755,Feb-22,SAN_0696,치악산,치악산,20570,관광명소
312052,Feb-22,SAN_0568,월악산,월악산,20140,관광명소
300842,Feb-22,KC498PP19N003344,경주버드파크,경주버드파크,20110,관광명소
301252,Feb-22,KC495PP19N026121,곽지해수욕장,곽지해수욕장,20050,관광명소
313300,Feb-22,KC498PP19N003539,제주곶자왈도립공원,제주곶자왈도립공원,19740,관광명소
300839,Feb-22,CULTURE_001210,경주문무대왕릉,경주문무대왕릉,19680,관광명소
304701,Feb-22,SAN_0213,마이산,마이산,18500,관광명소
310842,Feb-22,SAN_0512,오대산,오대산,18450,관광명소
307204,Feb-22,SAN_0385,사패산,사패산,18400,관광명소
302032,Feb-22,SAN_0105,금산,금산,18260,관광명소
302337,Feb-22,KC495PP19N026070,꽃지해수욕장,꽃지해수욕장,18230,관광명소
300836,Feb-22,CULTURE_001445,경주대릉원,경주대릉원,17970,관광명소
310437,Feb-22,KC498PP19N000039,여의도한강공원,여의도한강공원,17960,관광명소
300415,Feb-22,SAN_0023,감악산,감악산,17750,관광명소
309695,Feb-22,KC498PP19N002375,싱계물공원,싱계물공원,17610,관광명소
312083,Feb-22,SAN_0570,월출산,월출산,17420,관광명소
301326,Feb-22,SAN_0067,광교산,광교산,17200,관광명소
307543,Feb-22,KC495PP19N002969,삽교호놀이동산,삽교호놀이동산,16980,관광명소
302242,Feb-22,KC495PP19N026079,김녕해수욕장,김녕해수욕장,16610,관광명소
301879,Feb-22,KC498PP19N007025,그린랜드,그린랜드,16570,관광명소
315514,Feb-22,KC498PP19N002828,하늘공원,하늘공원,16470,관광명소
301025,Feb-22,KC495PP19N026000,고성공룡엑스포,고성공룡엑스포,16310,관광명소
308748,Feb-22,KC495PP19N026055,속초해수욕장,속초해수욕장,16300,관광명소
308595,Feb-22,SAN_0441,소금산,소금산,16270,관광명소
300217,Feb-22,SAN_0009,가야산,가야산,16090,관광명소
314784,Feb-22,SAN_0698,칠보산,칠보산,16060,관광명소
309264,Feb-22,CULTURE_001237,숭례문,숭례문,16050,관광명소
313078,Feb-22,KC495PP19N023370,잭슨나인스,잭슨나인스,15850,관광명소
312574,Feb-22,KC498PP19N008192,인천가족공원,인천가족공원,15810,관광명소
301469,Feb-22,KC495PP19N022625,괴산자연드림파크,괴산자연드림파크,15800,관광명소
312620,Feb-22,KC498PP19N008147,일산호수공원,일산호수공원,15620,관광명소
313436,Feb-22,CULTURE_001250,종묘,종묘,15470,관광명소
303938,Feb-22,KC498PP19N007261,도산공원,도산공원,15330,관광명소
315896,Feb-22,SAN_0738,함백산,함백산,15280,관광명소
308238,Feb-22,CULTURE_001322,선릉,선릉,15270,관광명소
306786,Feb-22,KC498PP19N000116,북서울꿈의숲,북서울꿈의숲,15240,관광명소
313511,Feb-22,SAN_0638,주왕산,주왕산,15210,관광명소
303077,Feb-22,KC495PP19N026146,다대포해수욕장,다대포해수욕장,15130,관광명소
307213,Feb-22,SAN_0387,산굼부리,산굼부리,14960,관광명소
313188,Feb-22,CULTURE_001199,정릉,정릉,14960,관광명소
300721,Feb-22,SAN_0035,검단산,검단산,14840,관광명소
316524,Feb-22,SAN_0754,황매산,황매산,14640,관광명소
308355,Feb-22,KC498PP19N007864,설악산국립공원,설악산국립공원,14370,관광명소
304605,Feb-22,SAN_0207,마니산,마니산,14320,관광명소
301915,Feb-22,SAN_0096,금강산,금강산,14240,관광명소
314165,Feb-22,SAN_0665,천마산,천마산,14110,관광명소
304758,Feb-22,KC498PP19N001535,만남의광장,만남의광장,14100,관광명소
311789,Feb-22,KC495PP19N026021,울산대공원,울산대공원,14080,관광명소
301061,Feb-22,KC498PP19N007781,고양어울림누리,고양어울림누리,14070,관광명소
311633,Feb-22,SAN_0550,우면산,우면산,13890,관광명소
306687,Feb-22,KC498PP19N001522,부산시민공원,부산시민공원,13820,관광명소
314767,Feb-22,SAN_0697,칠갑산,칠갑산,13640,관광명소
311821,Feb-22,SAN_0561,웅산,웅산,13540,관광명소
309053,Feb-22,SAN_0455,수리산,수리산,13440,관광명소
301765,Feb-22,KC495PP19N013856,국립생태원,국립생태원,13260,관광명소
306166,Feb-22,SAN_0295,백운산,백운산,13200,관광명소
301382,Feb-22,KC495PP19N026060,광안리해수욕장,광안리해수욕장,13060,관광명소
306423,Feb-22,KC498PP19N004141,보라매공원,보라매공원,12970,관광명소
306984,Feb-22,SAN_0375,비슬산,비슬산,12810,관광명소
315112,Feb-22,KC495PP19N026009,통도환타지아,통도환타지아,12770,관광명소
315747,Feb-22,KC498PP19N003113,한림공원,한림공원,12560,관광명소
302740,Feb-22,SAN_0135,내장산,내장산,12550,관광명소
310944,Feb-22,SAN_0522,오서산,오서산,12440,관광명소
314966,Feb-22,SAN_0707,태기산,태기산,12230,관광명소
313297,Feb-22,KC495PP19N026025,제주공룡랜드,제주공룡랜드,11880,관광명소
311405,Feb-22,SAN_0543,용마산,용마산,11790,관광명소
311895,Feb-22,KC495PP19N015060,원마운트,원마운트,11700,관광명소
310177,Feb-22,KC498PP19N008126,양재시민의숲,양재시민의숲,11450,관광명소
308627,Feb-22,SAN_0442,소래산,소래산,11380,관광명소
313309,Feb-22,KC495PP19N020296,제주불빛정원,제주불빛정원,11220,관광명소
304540,Feb-22,KC498PP19N008156,뚝섬한강공원,뚝섬한강공원,11200,관광명소
315602,Feb-22,KC495PP19N016123,하이원추추파크,하이원추추파크,11080,관광명소
313514,Feb-22,KC498PP19N007857,주왕산국립공원,주왕산국립공원,10870,관광명소
311420,Feb-22,SAN_0544,용문산,용문산,10820,관광명소
308561,Feb-22,KC498PP19N001099,센트럴파크,센트럴파크,10590,관광명소
304395,Feb-22,SAN_0201,두타산,두타산,10520,관광명소
314445,Feb-22,SAN_0687,청량산,청량산,10380,관광명소
305679,Feb-22,SAN_0270,민주지산,민주지산,10290,관광명소
305826,Feb-22,KC498PP19N008149,반포한강공원,반포한강공원,10190,관광명소
312365,Feb-22,SAN_0577,응봉산,응봉산,10080,관광명소
308294,Feb-22,KC498PP19N007068,선유도공원,선유도공원,10000,관광명소
308699,Feb-22,SAN_0447,소요산,소요산,9890,관광명소
301190,Feb-22,KC495PP19N033840,공룡테마파크,공룡테마파크,9870,관광명소
302113,Feb-22,SAN_0116,금정산,금정산,9790,관광명소
306367,Feb-22,KC495PP19N020192,별빛정원우주,별빛정원우주,9660,관광명소
308544,Feb-22,KC498PP19N003258,세종호수공원,세종호수공원,9570,관광명소
310025,Feb-22,KC495PP19N020064,알파카월드,알파카월드,9510,관광명소
304779,Feb-22,KC495PP19N026071,만리포해수욕장,만리포해수욕장,9420,관광명소
300265,Feb-22,SAN_0012,가지산,가지산,9290,관광명소
300872,Feb-22,CULTURE_001246,경희궁,경희궁,9290,관광명소
305015,Feb-22,KC495PP19N008027,메이즈랜드,메이즈랜드,9260,관광명소
305339,Feb-22,KC495PP19N025291,무주반디랜드,무주반디랜드,9250,관광명소
316639,Feb-22,KC498PP19N007831,효창공원,효창공원,9240,관광명소
314174,Feb-22,CULTURE_001223,천마총,천마총,9140,관광명소
311447,Feb-22,KC498PP19N008117,용산가족공원,용산가족공원,9060,관광명소
309799,Feb-22,KC495PP19N026216,아야진해수욕장,아야진해수욕장,8990,관광명소
314014,Feb-22,KC498PP19N007975,진해해양공원,진해해양공원,8950,관광명소
311433,Feb-22,SAN_0545,용봉산,용봉산,8840,관광명소
305169,Feb-22,SAN_0244,모악산,모악산,8790,관광명소
310281,Feb-22,KC495PP19N032539,어비계곡,어비계곡,8740,관광명소
315542,Feb-22,KC498PP19N003365,하늘정원,하늘정원,8690,관광명소
312172,Feb-22,SAN_0572,유명산,유명산,8670,관광명소
304141,Feb-22,KC495PP19N026288,동막해수욕장,동막해수욕장,8600,관광명소
301202,Feb-22,CULTURE_001414,공산성,공산성,8580,관광명소
304223,Feb-22,KC495PP19N033613,동촌유원지,동촌유원지,8580,관광명소
305324,Feb-22,KC495PP19N020496,무안황토갯벌랜드,무안황토갯벌랜드,8580,관광명소
313204,Feb-22,KC495PP19N032642,정방폭포,정방폭포,8530,관광명소
304930,Feb-22,SAN_0231,매봉산,매봉산,8430,관광명소
300827,Feb-22,KC498PP19N004049,경의선숲길,경의선숲길,8380,관광명소
312253,Feb-22,KC498PP19N008121,율동공원,율동공원,8360,관광명소
301444,Feb-22,KC495PP19N018719,광치기해변,광치기해변,8280,관광명소
308967,Feb-22,KC498PP19N004307,송해공원,송해공원,8180,관광명소
310916,Feb-22,SAN_0515,오봉산,오봉산,8020,관광명소
305357,Feb-22,KC495PP19N026069,무창포해수욕장,무창포해수욕장,8010,관광명소
311740,Feb-22,SAN_0557,운악산,운악산,8010,관광명소
315245,Feb-22,SAN_0723,팔봉산,팔봉산,7960,관광명소
310628,Feb-22,SAN_0505,연화산,연화산,7930,관광명소
308887,Feb-22,KC498PP19N003811,송상현광장,송상현광장,7850,관광명소
315369,Feb-22,KC495PP19N026112,표선해수욕장,표선해수욕장,7840,관광명소
303759,Feb-22,KC498PP19N007863,덕유산국립공원,덕유산국립공원,7810,관광명소
310767,Feb-22,SAN_0508,영축산,영축산,7810,관광명소
300189,Feb-22,SAN_0007,가산,가산,7800,관광명소
316054,Feb-22,KC495PP19N026061,해운대해수욕장,해운대해수욕장,7750,관광명소
300214,Feb-22,KC495PP19N033545,가야랜드,가야랜드,7730,관광명소
314263,Feb-22,KC495PP19N032677,천제연폭포,천제연폭포,7690,관광명소
316232,Feb-22,KC498PP19N006701,호수공원,호수공원,7680,관광명소
301361,Feb-22,SAN_0068,광덕산,광덕산,7610,관광명소
308309,Feb-22,SAN_0428,선자령,선자령,7560,관광명소
306633,Feb-22,SAN_0346,봉화산,봉화산,7480,관광명소
316511,Feb-22,SAN_0753,황령산,황령산,7440,관광명소
301644,Feb-22,SAN_0081,구병산,구병산,7440,관광명소
314439,Feb-22,KC498PP19N004571,청라호수공원,청라호수공원,7290,관광명소
303665,Feb-22,KC495PP19N000792,더마파크,더마파크,7260,관광명소
307661,Feb-22,KC495PP19N020322,상어가족,상어가족,7250,관광명소
314976,Feb-22,KC498PP19N000395,태백산국립공원,태백산국립공원,7230,관광명소
303738,Feb-22,SAN_0178,덕숭산,덕숭산,7190,관광명소
307450,Feb-22,SAN_0404,삼악산,삼악산,7140,관광명소
306690,Feb-22,KC495PP19N000608,부산어린이대공원,부산어린이대공원,7120,관광명소
304901,Feb-22,KC498PP19N008155,망원한강공원,망원한강공원,7070,관광명소
309497,Feb-22,SAN_0472,신불산,신불산,7000,관광명소
301653,Feb-22,SAN_0083,구봉산,구봉산,6980,관광명소
304884,Feb-22,KC495PP19N026053,망상해수욕장,망상해수욕장,6910,관광명소
302510,Feb-22,SAN_0126,남덕유산,남덕유산,6890,관광명소
304177,Feb-22,SAN_0193,동산,동산,6860,관광명소
316405,Feb-22,SAN_0748,화왕산,화왕산,6790,관광명소
316682,Feb-22,KC495PP19N000625,휘닉스블루캐니언,휘닉스블루캐니언,6760,관광명소
314674,Feb-22,SAN_0694,축령산,축령산,6650,관광명소
315744,Feb-22,KC498PP19N006699,한려해상국립공원,한려해상국립공원,6610,관광명소
309079,Feb-22,KC498PP19N001221,수변공원,수변공원,6570,관광명소
305917,Feb-22,KC495PP19N015692,방아머리해수욕장,방아머리해수욕장,6490,관광명소
314071,Feb-22,CULTURE_001299,창릉,창릉,6490,관광명소
313484,Feb-22,SAN_0636,주산,주산,6250,관광명소
312922,Feb-22,SAN_0601,장산,장산,6250,관광명소
301624,Feb-22,KC498PP19N003185,구미낙동강체육공원,구미낙동강체육공원,6210,관광명소
314107,Feb-22,KC498PP19N001638,창원시립상복공원,창원시립상복공원,6200,관광명소
309967,Feb-22,KC495PP19N033707,안양예술공원,안양예술공원,6190,관광명소
313800,Feb-22,KC498PP19N007862,지리산국립공원,지리산국립공원,6110,관광명소
316375,Feb-22,SAN_0745,화악산,화악산,6090,관광명소
305252,Feb-22,KC495PP19N026093,몽산포해수욕장,몽산포해수욕장,6070,관광명소
305483,Feb-22,KC495PP19N020260,문화비축기지,문화비축기지,6060,관광명소
313657,Feb-22,KC495PP19N026066,중문색달해수욕장,중문색달해수욕장,6040,관광명소
310792,Feb-22,SAN_0510,예봉산,예봉산,6030,관광명소
303897,Feb-22,SAN_0186,도락산,도락산,5840,관광명소
313341,Feb-22,SAN_0621,조계산,조계산,5840,관광명소
312879,Feb-22,CULTURE_001157,장릉,장릉,5820,관광명소
314427,Feb-22,CULTURE_001463,청도읍성,청도읍성,5820,관광명소
308341,Feb-22,SAN_0431,설산,설산,5790,관광명소
310056,Feb-22,SAN_0484,앞산,앞산,5790,관광명소
311287,Feb-22,KC495PP19N026220,왕산해수욕장,왕산해수욕장,5780,관광명소
305656,Feb-22,SAN_0268,민둥산,민둥산,5770,관광명소
306315,Feb-22,KC495PP19N001503,베어트리파크,베어트리파크,5660,관광명소
312742,Feb-22,KC498PP19N006846,자연농원,자연농원,5660,관광명소
308676,Feb-22,KC498PP19N007868,소백산국립공원,소백산국립공원,5620,관광명소
310570,Feb-22,KC495PP19N019114,연오랑세오녀테마공원,연오랑세오녀테마공원,5580,관광명소
304987,Feb-22,KC495PP19N026092,맹방해수욕장,맹방해수욕장,5560,관광명소
308858,Feb-22,KC498PP19N003542,송도달빛축제공원,송도달빛축제공원,5550,관광명소
314945,Feb-22,KC498PP19N007276,탑골공원,탑골공원,5520,관광명소
302217,Feb-22,KC498PP19N008056,기흥호수공원,기흥호수공원,5480,관광명소
302676,Feb-22,SAN_0132,남해금산,남해금산,5470,관광명소
313999,Feb-22,KC495PP19N026108,진하해수욕장,진하해수욕장,5470,관광명소
308927,Feb-22,KC495PP19N026101,송지호해수욕장,송지호해수욕장,5450,관광명소
312321,Feb-22,KC498PP19N001330,은하수공원,은하수공원,5420,관광명소
303426,Feb-22,SAN_0160,대모산,대모산,5390,관광명소
