SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
240951,Jun-21,KC498PP19N008149,반포한강공원,반포한강공원,45050,관광명소
238248,Jun-21,KC498PP19N008156,뚝섬한강공원,뚝섬한강공원,44930,관광명소
239722,Jun-21,KC495PP19N026093,몽산포해수욕장,몽산포해수욕장,44780,관광명소
231220,Jun-21,KC498PP19N000024,공원,공원,44250,관광명소
231643,Jun-21,KC495PP19N026008,광주패밀리랜드,광주패밀리랜드,44000,관광명소
259173,Jun-21,SAN_0684,청계산,청계산,43840,관광명소
235155,Jun-21,KC495PP19N026146,다대포해수욕장,다대포해수욕장,43660,관광명소
251976,Jun-21,CULTURE_001188,오죽헌,오죽헌,43600,관광명소
241658,Jun-21,KC495PP19N015927,백운계곡,백운계곡,43410,관광명소
252919,Jun-21,SAN_0546,용산,용산,42840,관광명소
230620,Jun-21,KC495PP19N035732,고기리계곡,고기리계곡,42380,관광명소
233359,Jun-21,KC495PP19N026079,김녕해수욕장,김녕해수욕장,41610,관광명소
237623,Jun-21,KC498PP19N004250,동탄호수공원,동탄호수공원,40560,관광명소
230821,Jun-21,KC495PP19N026000,고성공룡엑스포,고성공룡엑스포,39750,관광명소
255400,Jun-21,KC498PP19N008147,일산호수공원,일산호수공원,39130,관광명소
258494,Jun-21,CULTURE_001251,창경궁,창경궁,38970,관광명소
231383,Jun-21,SAN_0065,관악산,관악산,37160,관광명소
240334,Jun-21,KC498PP19N003573,물의정원,물의정원,36720,관광명소
253643,Jun-21,KC495PP19N026021,울산대공원,울산대공원,36360,관광명소
247547,Jun-21,KC495PP19N026101,송지호해수욕장,송지호해수욕장,36280,관광명소
252573,Jun-21,KC495PP19N026220,왕산해수욕장,왕산해수욕장,36210,관광명소
238737,Jun-21,KC495PP19N026071,만리포해수욕장,만리포해수욕장,36070,관광명소
247346,Jun-21,KC495PP19N015834,송계계곡,송계계곡,34360,관광명소
240595,Jun-21,KC495PP19N026168,민머루해수욕장,민머루해수욕장,33530,관광명소
233017,Jun-21,SAN_0110,금오산,금오산,33410,관광명소
230418,Jun-21,CULTURE_001445,경주대릉원,경주대릉원,32800,관광명소
242802,Jun-21,KC498PP19N001522,부산시민공원,부산시민공원,32200,관광명소
249463,Jun-21,SAN_0477,아차산,아차산,31980,관광명소
245988,Jun-21,KC498PP19N000632,석촌호수,석촌호수,31720,관광명소
261568,Jun-21,KC495PP19N026063,하나개해수욕장,하나개해수욕장,31690,관광명소
247124,Jun-21,SAN_0448,속리산,속리산,31160,관광명소
243004,Jun-21,KC498PP19N000116,북서울꿈의숲,북서울꿈의숲,30820,관광명소
244484,Jun-21,KC498PP19N003311,삼척장미공원,삼척장미공원,30650,관광명소
232424,Jun-21,KC495PP19N022610,군위삼국유사테마파크,군위삼국유사테마파크,30640,관광명소
244215,Jun-21,KC495PP19N015081,삼막사계곡,삼막사계곡,30360,관광명소
231564,Jun-21,KC495PP19N026060,광안리해수욕장,광안리해수욕장,30230,관광명소
246707,Jun-21,KC495PP19N033679,세리월드,세리월드,29270,관광명소
242066,Jun-21,SAN_0318,변산,변산,29170,관광명소
233998,Jun-21,SAN_0128,남산,남산,29110,관광명소
261240,Jun-21,KC495PP19N014036,포천계곡,포천계곡,29100,관광명소
236580,Jun-21,SAN_0179,덕유산,덕유산,28600,관광명소
259797,Jun-21,KC495PP19N026110,춘장대해수욕장,춘장대해수욕장,28540,관광명소
238696,Jun-21,KC498PP19N001535,만남의광장,만남의광장,28230,관광명소
237407,Jun-21,KC495PP19N026288,동막해수욕장,동막해수욕장,28210,관광명소
250217,Jun-21,KC498PP19N008126,양재시민의숲,양재시민의숲,27710,관광명소
256857,Jun-21,KC495PP19N026025,제주공룡랜드,제주공룡랜드,27640,관광명소
247744,Jun-21,SAN_0453,수락산,수락산,27450,관광명소
238482,Jun-21,SAN_0211,마산,마산,27350,관광명소
261652,Jun-21,KC498PP19N003365,하늘정원,하늘정원,27210,관광명소
246986,Jun-21,SAN_0445,소백산,소백산,27160,관광명소
261280,Jun-21,KC495PP19N026112,표선해수욕장,표선해수욕장,27070,관광명소
239946,Jun-21,KC495PP19N026069,무창포해수욕장,무창포해수욕장,27010,관광명소
261787,Jun-21,KC495PP19N026057,하조대해수욕장,하조대해수욕장,26730,관광명소
237249,Jun-21,KC498PP19N007373,돌산공원,돌산공원,26520,관광명소
261594,Jun-21,KC498PP19N002828,하늘공원,하늘공원,26060,관광명소
232667,Jun-21,SAN_0096,금강산,금강산,25860,관광명소
257150,Jun-21,CULTURE_001250,종묘,종묘,25830,관광명소
238956,Jun-21,KC495PP19N026053,망상해수욕장,망상해수욕장,25820,관광명소
236934,Jun-21,SAN_0188,도봉산,도봉산,25760,관광명소
246201,Jun-21,KC498PP19N007068,선유도공원,선유도공원,25320,관광명소
262687,Jun-21,KC495PP19N026061,해운대해수욕장,해운대해수욕장,25190,관광명소
230424,Jun-21,CULTURE_001210,경주문무대왕릉,경주문무대왕릉,25140,관광명소
253156,Jun-21,KC495PP19N020111,용추계곡,용추계곡,24880,관광명소
256305,Jun-21,KC495PP19N020116,장흥계곡,장흥계곡,24810,관광명소
256863,Jun-21,KC498PP19N003539,제주곶자왈도립공원,제주곶자왈도립공원,24580,관광명소
260933,Jun-21,SAN_0722,팔공산,팔공산,24570,관광명소
259970,Jun-21,SAN_0696,치악산,치악산,24500,관광명소
253383,Jun-21,KC495PP19N002780,우이동계곡,우이동계곡,24460,관광명소
256373,Jun-21,KC495PP19N032636,재인폭포,재인폭포,24450,관광명소
259548,Jun-21,KC495PP19N026245,청포대해수욕장,청포대해수욕장,24340,관광명소
246740,Jun-21,KC498PP19N003258,세종호수공원,세종호수공원,24270,관광명소
232789,Jun-21,KC495PP19N026277,금능해수욕장,금능해수욕장,24260,관광명소
242001,Jun-21,KC495PP19N001503,베어트리파크,베어트리파크,23950,관광명소
239815,Jun-21,SAN_0249,무등산,무등산,23920,관광명소
236948,Jun-21,KC498PP19N007261,도산공원,도산공원,23810,관광명소
244578,Jun-21,KC495PP19N002969,삽교호놀이동산,삽교호놀이동산,23690,관광명소
247817,Jun-21,SAN_0455,수리산,수리산,23510,관광명소
249218,Jun-21,KC495PP19N001640,쌍곡계곡,쌍곡계곡,23430,관광명소
235845,Jun-21,SAN_0158,대둔산,대둔산,23260,관광명소
247870,Jun-21,KC498PP19N001221,수변공원,수변공원,23190,관광명소
256881,Jun-21,KC495PP19N020296,제주불빛정원,제주불빛정원,23160,관광명소
247882,Jun-21,KC498PP19N007405,수봉공원,수봉공원,23090,관광명소
254207,Jun-21,SAN_0568,월악산,월악산,23010,관광명소
264108,Jun-21,KC495PP19N032727,흥정계곡,흥정계곡,22180,관광명소
230534,Jun-21,SAN_0044,계룡산,계룡산,22170,관광명소
257322,Jun-21,SAN_0638,주왕산,주왕산,22070,관광명소
242236,Jun-21,KC498PP19N004141,보라매공원,보라매공원,21930,관광명소
238987,Jun-21,KC498PP19N008155,망원한강공원,망원한강공원,21920,관광명소
232089,Jun-21,KC495PP19N020084,구미에코랜드,구미에코랜드,21700,관광명소
260728,Jun-21,KC495PP19N026009,통도환타지아,통도환타지아,21550,관광명소
248263,Jun-21,CULTURE_001237,숭례문,숭례문,21190,관광명소
241153,Jun-21,KC495PP19N015692,방아머리해수욕장,방아머리해수욕장,21180,관광명소
260467,Jun-21,KC498PP19N006646,태산패밀리파크,태산패밀리파크,20750,관광명소
232920,Jun-21,SAN_0105,금산,금산,20670,관광명소
230397,Jun-21,KC498PP19N004049,경의선숲길,경의선숲길,20550,관광명소
249772,Jun-21,KC495PP19N033707,안양예술공원,안양예술공원,20450,관광명소
257627,Jun-21,KC495PP19N026066,중문색달해수욕장,중문색달해수욕장,20450,관광명소
233795,Jun-21,KC495PP19N026056,낙산해수욕장,낙산해수욕장,20150,관광명소
249888,Jun-21,KC495PP19N020064,알파카월드,알파카월드,20120,관광명소
239880,Jun-21,KC495PP19N020496,무안황토갯벌랜드,무안황토갯벌랜드,20110,관광명소
259996,Jun-21,SAN_0697,칠갑산,칠갑산,20100,관광명소
231190,Jun-21,CULTURE_001414,공산성,공산성,19820,관광명소
242119,Jun-21,KC495PP19N020192,별빛정원우주,별빛정원우주,19720,관광명소
259459,Jun-21,SAN_0688,청옥산,청옥산,19510,관광명소
261769,Jun-21,KC495PP19N016123,하이원추추파크,하이원추추파크,19330,관광명소
256379,Jun-21,KC495PP19N023370,잭슨나인스,잭슨나인스,19120,관광명소
254632,Jun-21,KC498PP19N008121,율동공원,율동공원,19060,관광명소
243940,Jun-21,SAN_0388,산방산,산방산,18840,관광명소
242737,Jun-21,KC495PP19N001193,부곡하와이,부곡하와이,18780,관광명소
262071,Jun-21,KC498PP19N003113,한림공원,한림공원,18710,관광명소
249501,Jun-21,KC495PP19N023285,아쿠아틱파크아마존,아쿠아틱파크아마존,18650,관광명소
238579,Jun-21,SAN_0213,마이산,마이산,18590,관광명소
258719,Jun-21,SAN_0665,천마산,천마산,18520,관광명소
231445,Jun-21,SAN_0067,광교산,광교산,18490,관광명소
246071,Jun-21,CULTURE_001322,선릉,선릉,18470,관광명소
229530,Jun-21,SAN_0023,감악산,감악산,18350,관광명소
246017,Jun-21,KC495PP19N026192,선녀바위해수욕장,선녀바위해수욕장,18160,관광명소
232579,Jun-21,KC495PP19N033571,그랜드유원지,그랜드유원지,18150,관광명소
239910,Jun-21,KC495PP19N025291,무주반디랜드,무주반디랜드,18120,관광명소
255974,Jun-21,KC498PP19N000002,장미공원,장미공원,17940,관광명소
261665,Jun-21,KC495PP19N033802,하니랜드,하니랜드,17740,관광명소
251640,Jun-21,SAN_0512,오대산,오대산,17610,관광명소
260432,Jun-21,SAN_0708,태백산,태백산,17430,관광명소
240524,Jun-21,KC495PP19N032413,미인폭포,미인폭포,17320,관광명소
230185,Jun-21,SAN_0035,검단산,검단산,16920,관광명소
260825,Jun-21,KC495PP19N022642,트윈터널,트윈터널,16830,관광명소
241910,Jun-21,KC495PP19N001536,벌천포해수욕장,벌천포해수욕장,16690,관광명소
252620,Jun-21,KC495PP19N020371,왜목마을해수욕장,왜목마을해수욕장,16690,관광명소
255824,Jun-21,KC498PP19N008138,잠원한강공원,잠원한강공원,16590,관광명소
263501,Jun-21,KC495PP19N026052,화진포해수욕장,화진포해수욕장,16560,관광명소
242080,Jun-21,KC495PP19N026065,변산해수욕장,변산해수욕장,16540,관광명소
239750,Jun-21,KC495PP19N014003,묘적사계곡,묘적사계곡,16500,관광명소
259280,Jun-21,KC498PP19N004571,청라호수공원,청라호수공원,16410,관광명소
232287,Jun-21,KC495PP19N026274,구조라해수욕장,구조라해수욕장,16380,관광명소
258405,Jun-21,KC498PP19N007975,진해해양공원,진해해양공원,16340,관광명소
256631,Jun-21,CULTURE_001199,정릉,정릉,16330,관광명소
262699,Jun-21,CULTURE_001186,해인사팔만대장경,해인사팔만대장경,16130,관광명소
239412,Jun-21,KC495PP19N032394,명지계곡,명지계곡,16020,관광명소
244882,Jun-21,KC498PP19N008445,상족암군립공원,상족암군립공원,15820,관광명소
257328,Jun-21,KC498PP19N007857,주왕산국립공원,주왕산국립공원,15760,관광명소
253559,Jun-21,KC495PP19N033732,운일암반일암,운일암반일암,15740,관광명소
253857,Jun-21,KC495PP19N015060,원마운트,원마운트,15700,관광명소
262053,Jun-21,KC498PP19N007861,한라산국립공원,한라산국립공원,15690,관광명소
258307,Jun-21,KC495PP19N033773,진위천유원지,진위천유원지,15530,관광명소
255705,Jun-21,KC495PP19N026230,자작도해수욕장,자작도해수욕장,15390,관광명소
252660,Jun-21,SAN_0540,용각산,용각산,15280,관광명소
230430,Jun-21,KC498PP19N003344,경주버드파크,경주버드파크,15260,관광명소
229103,Jun-21,SAN_0009,가야산,가야산,15240,관광명소
233888,Jun-21,KC498PP19N007872,난지한강공원,난지한강공원,15210,관광명소
254272,Jun-21,SAN_0570,월출산,월출산,15200,관광명소
253916,Jun-21,KC495PP19N013954,원앙폭포,원앙폭포,15160,관광명소
256315,Jun-21,KC495PP19N033759,장흥유원지,장흥유원지,15120,관광명소
239840,Jun-21,KC495PP19N032401,무릉계곡,무릉계곡,15090,관광명소
238378,Jun-21,SAN_0207,마니산,마니산,15030,관광명소
242808,Jun-21,KC495PP19N000608,부산어린이대공원,부산어린이대공원,15000,관광명소
246319,Jun-21,KC498PP19N007864,설악산국립공원,설악산국립공원,14950,관광명소
236075,Jun-21,KC498PP19N007150,대왕암공원,대왕암공원,14840,관광명소
255814,Jun-21,KC498PP19N008140,잠실한강공원,잠실한강공원,14810,관광명소
263681,Jun-21,SAN_0754,황매산,황매산,14760,관광명소
260963,Jun-21,KC498PP19N003364,팔당물안개공원,팔당물안개공원,14630,관광명소
260562,Jun-21,KC498PP19N007946,태화강국가정원,태화강국가정원,14590,관광명소
237581,Jun-21,KC495PP19N033613,동촌유원지,동촌유원지,14480,관광명소
249894,Jun-21,KC498PP19N006645,암남공원,암남공원,14280,관광명소
237161,Jun-21,KC495PP19N026413,독산해수욕장,독산해수욕장,14190,관광명소
252867,Jun-21,SAN_0544,용문산,용문산,14090,관광명소
258375,Jun-21,KC495PP19N026108,진하해수욕장,진하해수욕장,13990,관광명소
261757,Jun-21,KC495PP19N015742,하옥계곡,하옥계곡,13990,관광명소
244490,Jun-21,KC495PP19N026054,삼척해수욕장,삼척해수욕장,13980,관광명소
252838,Jun-21,SAN_0543,용마산,용마산,13850,관광명소
241679,Jun-21,SAN_0295,백운산,백운산,13810,관광명소
263409,Jun-21,KC495PP19N032718,화양계곡,화양계곡,13780,관광명소
246266,Jun-21,KC495PP19N026193,설리해수욕장,설리해수욕장,13770,관광명소
255299,Jun-21,KC498PP19N008192,인천가족공원,인천가족공원,13730,관광명소
237800,Jun-21,KC498PP19N008132,두류공원,두류공원,13590,관광명소
256669,Jun-21,KC495PP19N032642,정방폭포,정방폭포,13560,관광명소
252986,Jun-21,KC495PP19N015851,용소폭포,용소폭포,13550,관광명소
234429,Jun-21,SAN_0135,내장산,내장산,13510,관광명소
250640,Jun-21,KC495PP19N007812,에코랜드테마파크,에코랜드테마파크,13410,관광명소
241382,Jun-21,KC495PP19N032419,백담계곡,백담계곡,13310,관광명소
249174,Jun-21,KC495PP19N026116,십리포해수욕장,십리포해수욕장,13260,관광명소
232591,Jun-21,KC498PP19N007025,그린랜드,그린랜드,13240,관광명소
255074,Jun-21,KC498PP19N007873,이순신공원,이순신공원,13190,관광명소
254539,Jun-21,KC495PP19N022782,유월드루지테마파크,유월드루지테마파크,13120,관광명소
264021,Jun-21,KC495PP19N000625,휘닉스블루캐니언,휘닉스블루캐니언,12910,관광명소
232354,Jun-21,KC495PP19N013856,국립생태원,국립생태원,12900,관광명소
230901,Jun-21,KC498PP19N007781,고양어울림누리,고양어울림누리,12870,관광명소
251251,Jun-21,KC495PP19N033716,영덕해맞이공원,영덕해맞이공원,12820,관광명소
255153,Jun-21,KC498PP19N008143,이촌한강공원,이촌한강공원,12800,관광명소
258737,Jun-21,CULTURE_001223,천마총,천마총,12770,관광명소
262447,Jun-21,KC495PP19N013517,함허동천,함허동천,12710,관광명소
250330,Jun-21,KC498PP19N003421,양평쉬자파크,양평쉬자파크,12690,관광명소
246771,Jun-21,KC498PP19N001099,센트럴파크,센트럴파크,12440,관광명소
239164,Jun-21,KC495PP19N026092,맹방해수욕장,맹방해수욕장,12400,관광명소
244541,Jun-21,KC495PP19N026099,삼포해수욕장,삼포해수욕장,12380,관광명소
252925,Jun-21,KC498PP19N008117,용산가족공원,용산가족공원,12290,관광명소
244825,Jun-21,KC495PP19N020322,상어가족,상어가족,12090,관광명소
246896,Jun-21,SAN_0442,소래산,소래산,12060,관광명소
236394,Jun-21,KC495PP19N000792,더마파크,더마파크,12040,관광명소
256796,Jun-21,KC495PP19N026328,제부도해수욕장,제부도해수욕장,12000,관광명소
257947,Jun-21,KC498PP19N007862,지리산국립공원,지리산국립공원,11980,관광명소
246207,Jun-21,KC495PP19N000987,선유도해수욕장,선유도해수욕장,11970,관광명소
254462,Jun-21,SAN_0572,유명산,유명산,11950,관광명소
230502,Jun-21,CULTURE_001246,경희궁,경희궁,11930,관광명소
240584,Jun-21,KC498PP19N002041,민락수변공원,민락수변공원,11920,관광명소
247038,Jun-21,SAN_0447,소요산,소요산,11880,관광명소
259574,Jun-21,KC495PP19N013935,청학동계곡,청학동계곡,11830,관광명소
243867,Jun-21,SAN_0385,사패산,사패산,11780,관광명소
259869,Jun-21,KC495PP19N020274,충주라이트월드,충주라이트월드,11710,관광명소
259256,Jun-21,CULTURE_001463,청도읍성,청도읍성,11670,관광명소
245520,Jun-21,KC498PP19N000304,서서울호수공원,서서울호수공원,11620,관광명소
243887,Jun-21,SAN_0387,산굼부리,산굼부리,11600,관광명소
250928,Jun-21,KC495PP19N000997,연꽃테마파크,연꽃테마파크,11580,관광명소
253210,Jun-21,KC495PP19N032605,용현계곡,용현계곡,11580,관광명소
254861,Jun-21,SAN_0577,응봉산,응봉산,11430,관광명소
240033,Jun-21,KC498PP19N007847,문경새재도립공원,문경새재도립공원,11420,관광명소
250354,Jun-21,KC498PP19N006766,양화한강공원,양화한강공원,11380,관광명소
256190,Jun-21,KC495PP19N000718,장유대청계곡,장유대청계곡,11300,관광명소
237484,Jun-21,KC495PP19N015852,동산계곡,동산계곡,11260,관광명소
255185,Jun-21,KC495PP19N026123,이호테우해수욕장,이호테우해수욕장,11140,관광명소
250580,Jun-21,KC495PP19N032545,엉또폭포,엉또폭포,11090,관광명소
237643,Jun-21,KC495PP19N014000,동학사계곡,동학사계곡,11010,관광명소
260028,Jun-21,SAN_0698,칠보산,칠보산,10990,관광명소
258950,Jun-21,KC495PP19N023196,천진암계곡,천진암계곡,10940,관광명소
249525,Jun-21,KC498PP19N005892,악양생태공원,악양생태공원,10890,관광명소
244280,Jun-21,KC495PP19N026186,삼봉해수욕장,삼봉해수욕장,10740,관광명소
242656,Jun-21,KC495PP19N026179,봉포해수욕장,봉포해수욕장,10710,관광명소
259292,Jun-21,SAN_0687,청량산,청량산,10690,관광명소
251687,Jun-21,KC495PP19N023223,오류고아라해변,오류고아라해변,10670,관광명소
258178,Jun-21,KC495PP19N016013,진관사계곡,진관사계곡,10660,관광명소
245638,Jun-21,KC498PP19N004285,서울함공원,서울함공원,10650,관광명소
250017,Jun-21,KC498PP19N003603,액션하우스,액션하우스,10600,관광명소
234175,Jun-21,KC495PP19N026085,남일대해수욕장,남일대해수욕장,10570,관광명소
246765,Jun-21,KC495PP19N026303,세화해수욕장,세화해수욕장,10560,관광명소
261004,Jun-21,SAN_0723,팔봉산,팔봉산,10460,관광명소
237098,Jun-21,KC498PP19N003483,도초수국공원,도초수국공원,10420,관광명소
251042,Jun-21,KC495PP19N019114,연오랑세오녀테마공원,연오랑세오녀테마공원,10400,관광명소
231516,Jun-21,SAN_0068,광덕산,광덕산,10340,관광명소
228964,Jun-21,SAN_0006,가리왕산,가리왕산,10330,관광명소
250755,Jun-21,KC498PP19N008144,여의도공원,여의도공원,10320,관광명소
263938,Jun-21,KC498PP19N007831,효창공원,효창공원,10320,관광명소
240216,Jun-21,KC495PP19N020260,문화비축기지,문화비축기지,10310,관광명소
251427,Jun-21,KC495PP19N026180,영일대해수욕장,영일대해수욕장,10270,관광명소
230703,Jun-21,KC495PP19N026134,고래불해수욕장,고래불해수욕장,10240,관광명소
253702,Jun-21,SAN_0561,웅산,웅산,10200,관광명소
252050,Jun-21,KC495PP19N032562,옥계계곡,옥계계곡,10170,관광명소
239338,Jun-21,KC495PP19N015178,명사십리해수욕장,명사십리해수욕장,10160,관광명소
263086,Jun-21,KC498PP19N006701,호수공원,호수공원,10150,관광명소
258924,Jun-21,KC495PP19N032677,천제연폭포,천제연폭포,10110,관광명소
257761,Jun-21,KC495PP19N032663,중원계곡,중원계곡,10100,관광명소
247393,Jun-21,KC498PP19N003542,송도달빛축제공원,송도달빛축제공원,10090,관광명소
260415,Jun-21,SAN_0707,태기산,태기산,10010,관광명소
245608,Jun-21,KC498PP19N004239,서울로7017,서울로7017,9980,관광명소
229044,Jun-21,SAN_0007,가산,가산,9900,관광명소
255664,Jun-21,KC498PP19N006846,자연농원,자연농원,9890,관광명소
230777,Jun-21,KC495PP19N026135,고사포해수욕장,고사포해수욕장,9820,관광명소
241276,Jun-21,KC495PP19N035737,배내골,배내골,9820,관광명소
263072,Jun-21,KC495PP19N002722,호박소계곡,호박소계곡,9800,관광명소
251797,Jun-21,SAN_0515,오봉산,오봉산,9670,관광명소
254213,Jun-21,KC498PP19N007865,월악산국립공원,월악산국립공원,9660,관광명소
262065,Jun-21,KC498PP19N006699,한려해상국립공원,한려해상국립공원,9600,관광명소
244683,Jun-21,KC498PP19N006938,상동호수공원,상동호수공원,9580,관광명소
236916,Jun-21,KC495PP19N032373,도마치계곡,도마치계곡,9560,관광명소
231685,Jun-21,KC495PP19N018719,광치기해변,광치기해변,9420,관광명소
235293,Jun-21,KC495PP19N019118,다이노스타,다이노스타,9390,관광명소
241079,Jun-21,KC495PP19N026171,밧개해수욕장,밧개해수욕장,9350,관광명소
255775,Jun-21,KC495PP19N001120,작천정계곡,작천정계곡,9330,관광명소
253588,Jun-21,KC498PP19N001687,운정호수공원,운정호수공원,9300,관광명소
255429,Jun-21,KC495PP19N014496,일영계곡,일영계곡,9270,관광명소
237383,Jun-21,KC495PP19N032376,동막계곡,동막계곡,9200,관광명소
247954,Jun-21,KC498PP19N003279,수성패밀리파크,수성패밀리파크,9200,관광명소
260592,Jun-21,KC495PP19N020186,테마파크소풍,테마파크소풍,9200,관광명소
260366,Jun-21,KC498PP19N007276,탑골공원,탑골공원,9190,관광명소
230259,Jun-21,KC495PP19N026118,격포해수욕장,격포해수욕장,9180,관광명소
238348,Jun-21,KC495PP19N026162,마검포해수욕장,마검포해수욕장,9160,관광명소
233093,Jun-21,SAN_0116,금정산,금정산,9130,관광명소
260103,Jun-21,KC495PP19N026111,칠포해수욕장,칠포해수욕장,9130,관광명소
236682,Jun-21,KC495PP19N032371,덕풍계곡,덕풍계곡,9090,관광명소
237478,Jun-21,SAN_0193,동산,동산,9090,관광명소
259784,Jun-21,SAN_0694,축령산,축령산,9070,관광명소
263421,Jun-21,KC495PP19N032719,화양구곡,화양구곡,9050,관광명소
255080,Jun-21,KC498PP19N000609,이순신광장,이순신광장,9030,관광명소
255830,Jun-21,KC495PP19N032631,장각폭포,장각폭포,8970,관광명소
249707,Jun-21,KC498PP19N008161,안산호수공원,안산호수공원,8950,관광명소
243424,Jun-21,SAN_0375,비슬산,비슬산,8900,관광명소
233305,Jun-21,KC498PP19N008056,기흥호수공원,기흥호수공원,8770,관광명소
243298,Jun-21,KC495PP19N002527,비둘기낭폭포,비둘기낭폭포,8750,관광명소
251115,Jun-21,KC495PP19N026103,연포해수욕장,연포해수욕장,8750,관광명소
229097,Jun-21,KC495PP19N033545,가야랜드,가야랜드,8720,관광명소
249483,Jun-21,KC495PP19N013507,아침가리계곡,아침가리계곡,8710,관광명소
263656,Jun-21,SAN_0753,황령산,황령산,8700,관광명소
246122,Jun-21,KC495PP19N019111,선샤인랜드,선샤인랜드,8690,관광명소
253533,Jun-21,SAN_0557,운악산,운악산,8660,관광명소
241236,Jun-21,SAN_0281,방태산,방태산,8610,관광명소
242558,Jun-21,KC498PP19N006027,봉숭아,봉숭아,8600,관광명소
231808,Jun-21,KC498PP19N007837,구갈레스피아,구갈레스피아,8590,관광명소
247520,Jun-21,KC495PP19N026196,송정해수욕장,송정해수욕장,8570,관광명소
232120,Jun-21,SAN_0083,구봉산,구봉산,8560,관광명소
252931,Jun-21,KC498PP19N005320,용산공원,용산공원,8490,관광명소
240993,Jun-21,SAN_0277,발왕산,발왕산,8380,관광명소
247738,Jun-21,KC495PP19N015932,수락계곡,수락계곡,8360,관광명소
249074,Jun-21,KC495PP19N033703,신흥레저타운,신흥레저타운,8360,관광명소
